06-05 00:18:58.413 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.413Z | CAM_FOLLOW_PUSH | {"t":1780611538413,"lat":51.211589,"lng":19.024903,"hdg":0,"snapHdg":0,"speedKmh":0,"exploring":false,"source":"drive_marker_sv_60fps"}
06-05 00:18:58.484 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.484Z | DRIVE_TRACE_CAMERA | {"t":1780611538484,"seq":1508,"gpsTickId":1780611537918,"gpsTickAgeMs":535,"lat":51.211584,"lng":19.024898,"hdg":0,"speedKmh":0,"exploring":false,"frameMoveM":0}
06-05 00:18:58.485 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.485Z | MARKER_UI_SMOOTH | {"t":1780611538485,"seq":1509,"gpsTickId":1780611537918,"gpsTickAgeMs":536,"lat":51.211584,"lng":19.024898,"hdg":0,"uiMoveM":0.5,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:18:58.530 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.530Z | CAMERA_PIPELINE | {"t":1780611538530,"seq":1510,"gpsTickId":1780611537918,"gpsTickAgeMs":581,"lat":51.211581,"lng":19.024894,"hintHdg":0,"followHdg":0,"camHdgFlipDeg":0,"speedKmh":0,"frameMoveM":0,"rawGapM":4.7,"segMs":948,"msSinceCamPush":30,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:18:58.598 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.598Z | MARKER_UI_SMOOTH | {"t":1780611538598,"seq":1511,"gpsTickId":1780611537918,"gpsTickAgeMs":649,"lat":51.211576,"lng":19.024889,"hdg":0,"uiMoveM":0.3,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:18:58.647 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.647Z | DRIVE_TRACE_CAMERA | {"t":1780611538647,"seq":1512,"gpsTickId":1780611537918,"gpsTickAgeMs":698,"lat":51.211573,"lng":19.024885,"hdg":0,"speedKmh":0,"exploring":false,"frameMoveM":0}
06-05 00:18:58.663 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.663Z | CAMERA_PIPELINE | {"t":1780611538663,"seq":1513,"gpsTickId":1780611537918,"gpsTickAgeMs":714,"lat":51.211572,"lng":19.024884,"hintHdg":0,"followHdg":0,"camHdgFlipDeg":0,"speedKmh":0,"frameMoveM":0,"rawGapM":3.6,"segMs":948,"msSinceCamPush":16,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:18:58.731 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.731Z | MARKER_UI_SMOOTH | {"t":1780611538731,"seq":1514,"gpsTickId":1780611537918,"gpsTickAgeMs":782,"lat":51.211567,"lng":19.024878,"hdg":0,"uiMoveM":0.3,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:18:58.797 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.797Z | CAMERA_PIPELINE | {"t":1780611538797,"seq":1515,"gpsTickId":1780611537918,"gpsTickAgeMs":848,"lat":51.211563,"lng":19.024873,"hintHdg":0,"followHdg":0,"camHdgFlipDeg":0,"speedKmh":0,"frameMoveM":0,"rawGapM":2.5,"segMs":948,"msSinceCamPush":17,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:18:58.798 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.798Z | CAMERA_HEADING | {"t":1780611538798,"speedKmh":0,"movedM":0.16,"moveBearing":216,"snapHdg":0,"headingOut":0,"flipFromPrevDeg":0,"lookaheadM":0,"nativeFollow":true,"frameDtMs":17,"impliedKmh":33,"followFromWorklet":true}
06-05 00:18:58.800 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.800Z | DRIVE_TRACE_CAMERA | {"t":1780611538800,"seq":1516,"gpsTickId":1780611537918,"gpsTickAgeMs":851,"lat":51.211563,"lng":19.024873,"hdg":0,"speedKmh":0,"exploring":false,"frameMoveM":0}
06-05 00:18:58.847 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.847Z | MARKER_UI_SMOOTH | {"t":1780611538847,"seq":1517,"gpsTickId":1780611537918,"gpsTickAgeMs":898,"lat":51.21156,"lng":19.024869,"hdg":0,"uiMoveM":0.5,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:18:58.930 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.930Z | CAMERA_PIPELINE | {"t":1780611538930,"seq":1518,"gpsTickId":1780611537918,"gpsTickAgeMs":981,"lat":51.211554,"lng":19.024863,"hintHdg":0,"followHdg":0,"camHdgFlipDeg":0,"speedKmh":0,"frameMoveM":0,"rawGapM":1.7,"segMs":948,"msSinceCamPush":17,"offRoute":false,"source":"drive_marker_sv"}
06-05 00:18:58.947 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.947Z | MARKER_UI_SMOOTH | {"t":1780611538947,"seq":1519,"gpsTickId":1780611537918,"gpsTickAgeMs":998,"lat":51.211553,"lng":19.024862,"hdg":0,"uiMoveM":0.3,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:18:58.952 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.952Z | RAW_GPS_TICK | {"t":1780611538952,"gpsTickId":1780611538918,"gpsTickAgeMs":0,"lat":51.211509,"lng":19.024648,"speed":14.17,"speedKmh":51,"accuracy":4,"osTimestamp":1780611538918,"tripActive":true,"appState":"active"}
06-05 00:18:58.952 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.952Z | DRIVE_TRACE_RAW | {"t":1780611538952,"seq":1520,"gpsTickId":1780611538918,"gpsTickAgeMs":0,"rawLat":51.211509,"rawLng":19.024648,"accM":4,"speedKmh":51,"speedMs":14.2,"heading":248,"tripActive":true,"driving":true,"navigating":false,"osTimestamp":1780611538918}
06-05 00:18:58.952 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.952Z | DRIVE_API | {"allow":false,"trigger":null,"crossTrackM":13.5,"buffered":2,"throttleBlocked":true}
06-05 00:18:58.954 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.954Z | DRIVE_TRACE_FEED | {"t":1780611538954,"seq":1521,"gpsTickId":1780611538918,"gpsTickAgeMs":2,"lat":51.211541,"lng":19.024848,"hdg":0,"durationMs":903,"speedKmh":51}
06-05 00:18:58.954 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.954Z | MARKER_PIPELINE | {"t":1780611538954,"seq":1522,"gpsTickId":1780611538918,"gpsTickAgeMs":2,"rawLat":51.211509,"rawLng":19.024648,"engineSnapLat":51.211541,"engineSnapLng":19.024848,"displayLat":51.211541,"displayLng":19.024848,"displayHdg":0,"svLat":51.211553,"svLng":19.024862,"svHdg":0,"markerRawGapM":14.4,"svGapM":1.6,"hdgFlipDeg":0,"pushSegM":0,"feedDurMs":903,"feedSpeedMs":14.2,"hudKmh":51,"engineKmh":0,"crossTrackM":13.5,"catchupSoft":false,"onRoad":true,"chaseM":0,"parkedLike":false}
06-05 00:18:58.955 I/ReactNativeJS(28372): [VROOM-TEL] 2026-06-04T22:18:58.954Z | DRIVE_TRACE_TICK | {"t":1780611538954,"seq":1523,"gpsTickId":1780611538918,"gpsTickAgeMs":2,"rawLat":51.211509,"rawLng":19.024648,"snapLat":51.211541,"snapLng":19.024848,"markerLat":51.211541,"markerLng":19.024848,"markerHdg":0,"markerSvLat":51.211553,"markerSvLng":19.024862,"markerSvHdg":0,"accM":4,"hudKmh":51,"engineKmh":0,"dopplerKmh":51,"feedDurMs":903,"cadenceMs":1003,"feedSpeedMs":14.2,"isNavigating":false,"isFreeDrive":true,"isMoving":true,"feedSkipGate":false,"feedAccepted":true,"feedHeadingOnly":false,"source":"drive_core_v2","markerRawGapM":14.4,"svGapM":1.6,"hdgFlipDeg":0,"pushSegM":0,"catchupSoft":false,"onRoad":true,"chaseM":0,"engineSnapLat":51.211541,"engineSnapLng":19.024848,"crossTrackM":13.5}
