06-05 00:03:53.826 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:53.826Z | MARKER_UI_SMOOTH | {"t":1780610633826,"seq":2443,"gpsTickId":1780610632920,"gpsTickAgeMs":885,"lat":51.320331,"lng":19.108282,"hdg":196,"uiMoveM":1,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:03:53.936 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:53.935Z | MARKER_UI_SMOOTH | {"t":1780610633935,"seq":2444,"gpsTickId":1780610632920,"gpsTickAgeMs":994,"lat":51.320329,"lng":19.108281,"hdg":196,"uiMoveM":0,"uiHdgDeltaDeg":0,"msSinceCommit":32,"svGapM":null}
06-05 00:03:54.013 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.013Z | CAMERA_HEADING | {"t":1780610634013,"speedKmh":55,"movedM":0,"moveBearing":null,"snapHdg":196,"headingOut":196,"flipFromPrevDeg":0,"lookaheadM":47,"nativeFollow":true,"frameDtMs":114,"impliedKmh":null,"followFromWorklet":false}
06-05 00:03:54.017 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.017Z | RAW_GPS_TICK | {"t":1780610634017,"gpsTickId":1780610633921,"gpsTickAgeMs":0,"lat":51.320259,"lng":19.108291,"speed":15.2,"speedKmh":54.7,"accuracy":4,"osTimestamp":1780610633921,"tripActive":true,"appState":"active"}
06-05 00:03:54.017 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.017Z | DRIVE_TRACE_RAW | {"t":1780610634017,"seq":2445,"gpsTickId":1780610633921,"gpsTickAgeMs":0,"rawLat":51.320259,"rawLng":19.108291,"accM":4,"speedKmh":54.7,"speedMs":15.2,"heading":186,"tripActive":true,"driving":true,"navigating":false,"osTimestamp":1780610633921}
06-05 00:03:54.018 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.018Z | DRIVE_API | {"allow":false,"trigger":null,"crossTrackM":44.1,"buffered":4,"throttleBlocked":true}
06-05 00:03:54.019 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.019Z | DRIVE_TRACE_FEED | {"t":1780610634019,"seq":2446,"gpsTickId":1780610633921,"gpsTickAgeMs":2,"lat":51.320259,"lng":19.108291,"hdg":187,"durationMs":380,"speedKmh":54.7}
06-05 00:03:54.019 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.019Z | MARKER_PIPELINE | {"t":1780610634019,"seq":2447,"gpsTickId":1780610633921,"gpsTickAgeMs":2,"rawLat":51.320259,"rawLng":19.108291,"engineSnapLat":51.320655,"engineSnapLng":19.108426,"displayLat":51.320259,"displayLng":19.108291,"displayHdg":187,"svLat":51.320329,"svLng":19.108281,"svHdg":196,"markerRawGapM":0,"svGapM":7.8,"hdgFlipDeg":8,"pushSegM":15.1,"feedDurMs":380,"feedSpeedMs":15.2,"hudKmh":54.7,"engineKmh":0.6,"crossTrackM":44.1,"catchupSoft":true,"onRoad":false,"chaseM":0,"parkedLike":false}
06-05 00:03:54.019 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.019Z | DRIVE_TRACE_TICK | {"t":1780610634019,"seq":2448,"gpsTickId":1780610633921,"gpsTickAgeMs":2,"rawLat":51.320259,"rawLng":19.108291,"snapLat":51.320259,"snapLng":19.108291,"markerLat":51.320259,"markerLng":19.108291,"markerHdg":187,"markerSvLat":51.320329,"markerSvLng":19.108281,"markerSvHdg":196,"accM":4,"hudKmh":54.7,"engineKmh":0.6,"dopplerKmh":54.7,"feedDurMs":380,"cadenceMs":1026,"feedSpeedMs":15.2,"isNavigating":false,"isFreeDrive":true,"isMoving":true,"feedSkipGate":false,"feedAccepted":true,"feedHeadingOnly":false,"source":"drive_core_v2","markerRawGapM":0,"svGapM":7.8,"hdgFlipDeg":8,"pushSegM":15.1,"catchupSoft":true,"onRoad":false,"chaseM":0,"engineSnapLat":51.320655,"engineSnapLng":19.108426,"crossTrackM":44.1}
06-05 00:03:54.019 I/ReactNativeJS(21891): [VROOM-TEL] 2026-06-04T22:03:54.019Z | GPS_ACCEPT | {"lat":51.320259,"lng":19.108291,"acc":4,"speedKmh":54.7,"gpsLock":true}
