06-04 20:59:59.975 I/ReactNativeJS(27948): [VROOM-TEL] 2026-06-04T18:59:59.975Z | DRIVE_TRACE_RAW | {"t":1780599599975,"seq":120,"gpsTickId":1780599599945,"gpsTickAgeMs":1,"rawLat":51.35283,"rawLng":19.374181,"accM":4,"speedKmh":46,"speedMs":12.8,"heading":333,"tripActive":true,"driving":true,"navigating":false,"osTimestamp":1780599599945}
06-04 20:59:59.975 I/ReactNativeJS(27948): [VROOM-TEL] 2026-06-04T18:59:59.975Z | DRIVE_API | {"allow":false,"trigger":null,"crossTrackM":13.6,"buffered":5,"throttleBlocked":true}
06-04 20:59:59.975 I/ReactNativeJS(27948): [VROOM-TEL] 2026-06-04T18:59:59.975Z | MARKER_STUCK | {"t":1780599599975,"markerRawGapM":95,"hudKmh":46,"snapLat":51.35209,"rawLat":51.35283}
06-04 20:59:59.994 I/ReactNativeJS(27948): [VROOM-TEL] 2026-06-04T18:59:59.992Z | DRIVE_TRACE_FEED | {"t":1780599599992,"seq":121,"gpsTickId":1780599599945,"gpsTickAgeMs":15,"lat":51.352091,"lng":19.374871,"hdg":334,"durationMs":1200,"speedKmh":46}
06-04 21:00:00.005 I/ReactNativeJS(27948): [VROOM-TEL] 2026-06-04T19:00:00.005Z | DRIVE_TRACE_TICK | {"t":1780599600005,"seq":122,"gpsTickId":1780599599945,"gpsTickAgeMs":31,"rawLat":51.35283,"rawLng":19.374181,"snapLat":51.352091,"snapLng":19.374871,"markerLat":51.352091,"markerLng":19.374871,"markerHdg":334,"markerSvLat":51.351907,"markerSvLng":19.375097,"markerSvHdg":132,"accM":4,"hudKmh":46,"engineKmh":22.8,"dopplerKmh":46,"feedDurMs":1200,"cadenceMs":1017,"feedSpeedMs":12.8,"isNavigating":false,"isFreeDrive":true,"isMoving":true,"feedSkipGate":false,"feedAccepted":true,"feedHeadingOnly":false,"source":"drive_core_v2"}
06-04 21:00:00.005 I/ReactNativeJS(27948): [VROOM-TEL] 2026-06-04T19:00:00.005Z | GPS_ACCEPT | {"lat":51.35283,"lng":19.374181,"acc":4,"speedKmh":46.3,"gpsLock":true}
06-04 21:00:00.068 I/ReactNativeJS(27948): [VROOM-TEL] 2026-06-04T19:00:00.068Z | DRIVE_TRACE_CAMERA | {"t":1780599600068,"seq":123,"gpsTickId":1780599599945,"gpsTickAgeMs":94,"lat":51.351919,"lng":19.375082,"hdg":324,"speedKmh":46,"exploring":false,"frameMoveM":0}
06-04 21:00:00.135 I/ReactNativeJS(27948): [VROOM-TEL] 2026-06-04T19:00:00.135Z | CAMERA_HEADING | {"t":1780599600135,"speedKmh":46,"movedM":0.37,"moveBearing":323,"snapHdg":331,"headingOut":71,"flipFromPrevDeg":14,"lookaheadM":38,"nativeFollow":true}
06-04 21:00:00.369 I/ReactNativeJS(27948): [VROOM-TEL] 2026-06-04T19:00:00.369Z | CAM_FOLLOW_PUSH | {"t":1780599600369,"lat":51.351965,"lng":19.375025,"hdg":323,"snapHdg":334,"speedKmh":46,"exploring":false,"source":"drive_marker_sv_60fps"}
06-04 21:00:00.369 I/ReactNativeJS(27948): [VROOM-TEL] 2026-06-04T19:00:00.369Z | DRIVE_TRACE_CAMERA | {"t":1780599600369,"seq":124,"gpsTickId":1780599599945,"gpsTickAgeMs":395,"lat":51.351965,"lng":19.375025,"hdg":323,"speedKmh":46,"exploring":false,"frameMoveM":0}
