06-04 21:27:18.709 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:18.709Z | DRIVE_TRACE_RAW | {"t":1780601238709,"seq":1035,"gpsTickId":1780601238140,"gpsTickAgeMs":0,"rawLat":51.366416,"rawLng":19.387274,"accM":4,"speedKmh":0,"speedMs":0,"heading":0,"tripActive":true,"driving":true,"navigating":false,"osTimestamp":1780601238140}
06-04 21:27:18.709 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:18.709Z | ROAD_MATCH_SKIP_TRUNCATED | {"t":1780601238709,"pts":2,"prevPts":14,"shiftM":1258}
06-04 21:27:18.710 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:18.710Z | DRIVE_TRACE_FEED | {"t":1780601238710,"seq":1036,"gpsTickId":1780601238140,"gpsTickAgeMs":1,"lat":51.366415,"lng":19.38731,"hdg":12,"durationMs":1712,"speedKmh":0}
06-04 21:27:18.710 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:18.710Z | TRIP_SEGMENT_REJECT | {"t":1780601238710,"reason":"jitter","dtSec":12.9,"speedKmh":null}
06-04 21:27:18.710 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:18.710Z | DRIVE_TRACE_TICK | {"t":1780601238710,"seq":1037,"gpsTickId":1780601238140,"gpsTickAgeMs":1,"rawLat":51.366416,"rawLng":19.387274,"snapLat":51.366415,"snapLng":19.38731,"markerLat":51.366415,"markerLng":19.38731,"markerHdg":12,"markerSvLat":51.366415,"markerSvLng":19.38731,"markerSvHdg":12,"accM":4,"hudKmh":0,"engineKmh":0,"dopplerKmh":0,"feedDurMs":1712,"cadenceMs":1902,"feedSpeedMs":0,"isNavigating":false,"isFreeDrive":true,"isMoving":true,"feedSkipGate":false,"feedAccepted":true,"feedHeadingOnly":false,"source":"drive_core_v2"}
06-04 21:27:18.710 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:18.710Z | GPS_ACCEPT | {"lat":51.366416,"lng":19.387274,"acc":4,"speedKmh":0,"gpsLock":false}
06-04 21:27:19.945 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:19.945Z | CAMERA_HEADING | {"t":1780601239945,"speedKmh":0,"movedM":0,"moveBearing":null,"snapHdg":12,"headingOut":12,"flipFromPrevDeg":0,"lookaheadM":0,"nativeFollow":true}
06-04 21:27:21.400 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:21.400Z | CAMERA_HEADING | {"t":1780601241400,"speedKmh":0,"movedM":0,"moveBearing":null,"snapHdg":12,"headingOut":12,"flipFromPrevDeg":0,"lookaheadM":0,"nativeFollow":true}
06-04 21:27:22.098 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:22.098Z | DRIVE_TRACE_HEARTBEAT | {"t":1780601242098,"seq":1038,"gpsTickId":1780601238140,"gpsTickAgeMs":3389,"driving":true,"navigating":false,"tripActive":true,"lat":51.3664161,"lng":19.3872739,"gpsAgeMs":3389}
06-04 21:27:22.535 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:22.535Z | CAMERA_HEADING | {"t":1780601242535,"speedKmh":0,"movedM":0,"moveBearing":null,"snapHdg":12,"headingOut":12,"flipFromPrevDeg":0,"lookaheadM":0,"nativeFollow":true}
06-04 21:27:23.933 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:23.933Z | CAMERA_HEADING | {"t":1780601243933,"speedKmh":0,"movedM":0,"moveBearing":null,"snapHdg":12,"headingOut":12,"flipFromPrevDeg":0,"lookaheadM":0,"nativeFollow":true}
06-04 21:27:27.095 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:27.095Z | DRIVE_HEALTH | {"t":1780601247095,"mode":"driving","speedHudKmh":0,"speedPipeKmh":0,"gpsAgeMs":8386,"drAgeMs":8385,"gpsToDriftM":3,"snapAnchorDriftM":0,"offRoute":false,"reroutePending":false,"rerouteLoading":false,"hasRoutePts":0}
06-04 21:27:27.823 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:27.823Z | CAMERA_HEADING | {"t":1780601247823,"speedKmh":0,"movedM":0,"moveBearing":null,"snapHdg":12,"headingOut":12,"flipFromPrevDeg":0,"lookaheadM":0,"nativeFollow":true}
06-04 21:27:28.162 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:28.162Z | TRIP_SEGMENT_STATS | {"t":1780601248162,"totalDistanceKm":2.043,"acceptedMain":132,"acceptedMainKm":2.043,"fallbackAccepted":0,"fallbackKm":0,"derivedSpeedUsed":6,"derivedSpeedRejected":0,"lowSpeedDropped":0,"zeroMove":0,"rejectedTotal":36,"rejectedJitter":36,"rejectedJump":0,"rejectedStaleGap":0,"rejectedMinSpeed":0,"rejectedAccuracy":0,"rejectedImpossible":0,"rejectedInvalidTime":0}
06-04 21:27:30.411 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:30.411Z | CAMERA_HEADING | {"t":1780601250411,"speedKmh":0,"movedM":0,"moveBearing":null,"snapHdg":12,"headingOut":12,"flipFromPrevDeg":0,"lookaheadM":0,"nativeFollow":true}
06-04 21:27:31.846 I/ReactNativeJS(19383): [VROOM-TEL] 2026-06-04T19:27:31.846Z | CAMERA_HEADING | {"t":1780601251846,"speedKmh":0,"movedM":0,"moveBearing":null,"snapHdg":12,"headingOut":12,"flipFromPrevDeg":0,"lookaheadM":0,"nativeFollow":true}
