06-04 20:37:28.541 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:28.541Z | ROAD_MATCH_SOFT_APPLY | {"pts":5,"shiftM":25}
06-04 20:37:28.542 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:28.542Z | DRIVE_API | {"allow":false,"trigger":null,"crossTrackM":0.5,"buffered":1,"throttleBlocked":true}
06-04 20:37:28.544 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:28.544Z | DRIVE_TRACE_FEED | {"t":1780598248544,"seq":57,"gpsTickId":1780598247948,"gpsTickAgeMs":577,"lat":51.352118,"lng":19.37494,"hdg":324,"durationMs":1200,"speedKmh":1.9}
06-04 20:37:28.545 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:28.545Z | DRIVE_TRACE_TICK | {"t":1780598248545,"seq":58,"gpsTickId":1780598247948,"gpsTickAgeMs":578,"rawLat":51.352114,"rawLng":19.374942,"snapLat":51.352118,"snapLng":19.37494,"markerLat":51.352118,"markerLng":19.37494,"markerHdg":324,"markerSvLat":51.352018,"markerSvLng":19.375091,"markerSvHdg":324,"accM":12,"hudKmh":1.9,"engineKmh":1.9,"dopplerKmh":0,"feedDurMs":1200,"cadenceMs":2479,"feedSpeedMs":0.5,"isNavigating":false,"isFreeDrive":true,"isMoving":true,"feedSkipGate":false,"feedAccepted":true,"feedHeadingOnly":false,"source":"drive_core_v2"}
06-04 20:37:28.581 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:28.581Z | DRIVE_TRACE_CAMERA | {"t":1780598248581,"seq":59,"gpsTickId":1780598247948,"gpsTickAgeMs":614,"lat":51.352021,"lng":19.375086,"hdg":324,"speedKmh":0,"exploring":false,"frameMoveM":0}
06-04 20:37:28.782 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:28.781Z | CAM_FOLLOW_PUSH | {"t":1780598248781,"lat":51.352037,"lng":19.375061,"hdg":324,"snapHdg":324,"speedKmh":0,"exploring":false,"source":"drive_marker_sv_60fps"}
06-04 20:37:28.881 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:28.881Z | DRIVE_TRACE_CAMERA | {"t":1780598248881,"seq":60,"gpsTickId":1780598247948,"gpsTickAgeMs":914,"lat":51.352046,"lng":19.375048,"hdg":324,"speedKmh":0,"exploring":false,"frameMoveM":0}
06-04 20:37:28.915 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:28.915Z | CAMERA_HEADING | {"t":1780598248915,"speedKmh":0,"movedM":0.22,"moveBearing":null,"snapHdg":324,"headingOut":324,"flipFromPrevDeg":0,"lookaheadM":0,"nativeFollow":true}
06-04 20:37:29.181 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:29.181Z | DRIVE_TRACE_CAMERA | {"t":1780598249181,"seq":61,"gpsTickId":1780598247948,"gpsTickAgeMs":1214,"lat":51.352071,"lng":19.375011,"hdg":324,"speedKmh":0,"exploring":false,"frameMoveM":0}
06-04 20:37:29.481 I/ReactNativeJS(22678): [VROOM-TEL] 2026-06-04T18:37:29.481Z | DRIVE_TRACE_CAMERA | {"t":1780598249481,"seq":62,"gpsTickId":1780598247948,"gpsTickAgeMs":1514,"lat":51.352096,"lng":19.374973,"hdg":324,"speedKmh":0,"exploring":false,"frameMoveM":0}
